Smart Contract, Total Opcodes, Total Jumps, Solved Jumps, Definitely unreachable jumps, Maybe unreachable jumps, Total solved Jumps, Unsound jumps, Maybe unsound jumps, % Total Solved, Time (millis), Notes 
0xf9456dccf0c989aa449736368453db18017fa305, 1588, 109, 107, 2, 0, 109, 0, 0, 1.0, 18394, ss: 17 sss: 32 
0xc760b9FD3131a80131C2D79BcaB7E3A589063169, 186, 8, 6, 2, 0, 8, 0, 0, 1.0, 6, ss: 17 sss: 32 
0xa38bdc49fc2dc77a1b302d2b635e88aa85015e76, 1737, 125, 124, 1, 0, 125, 0, 0, 1.0, 17778, ss: 17 sss: 32 
0x864c7404d09e77cb43fd7c1888f94d3c35a1ff27, 1427, 101, 98, 3, 0, 101, 0, 0, 1.0, 4203, ss: 17 sss: 32 
0x8d5bb759d4bc70aadd17c4f0d9e5f94731ab2252, 2254, 151, 147, 4, 0, 151, 0, 0, 1.0, 41486, ss: 17 sss: 32 
0xc57def71b0ba124bad5841718e36ebcca99a3d5b, 1515, 107, 104, 3, 0, 107, 0, 0, 1.0, 3679, ss: 17 sss: 32 
0xfc3ed9828f3ae99d19730a04a83bb92f6738b71e, 1518, 107, 104, 3, 0, 107, 0, 0, 1.0, 3390, ss: 17 sss: 32 
0xe7dcb55aad6e71e01a040fe0ed11a22ad13194b8, 2307, 158, 154, 4, 0, 158, 0, 0, 1.0, 50381, ss: 17 sss: 32 
0x95cdbe5228a77b5933b6f3a2f660bf2e3a1e1985, 1516, 107, 104, 3, 0, 107, 0, 0, 1.0, 4243, ss: 17 sss: 32 
0x6308ecf2ae87415380172cd838693ec02d2c01cd, 2658, 189, 182, 7, 0, 189, 0, 0, 1.0, 41395, ss: 17 sss: 32 
0xDb0acDE24816c0F75536351056Ec5D6dffb7CFc7, 2867, 259, 253, 6, 0, 259, 0, 0, 1.0, 40426, ss: 17 sss: 32 
0xfe65b765c518b63c792b9b97335a6e7f0bfc960c, 2452, 219, 190, 29, 0, 219, 0, 0, 1.0, 5955, ss: 17 sss: 32 
0x51140947C93c35557D5d595f725Af56818b5be73, 1907, 172, 143, 29, 0, 172, 0, 0, 1.0, 7171, ss: 17 sss: 32 
0x4d5898E723b51b42320D944B9ddFb333465196d4, 179, 8, 6, 2, 0, 8, 0, 0, 1.0, 33, ss: 17 sss: 32 
0xbcd4649ab2f0a64cea0240b29a7ca0e95833ad42, 1630, 116, 113, 3, 0, 116, 0, 0, 1.0, 14769, ss: 17 sss: 32 
0x9264Ac4E52EDdb5D0fb345CAE8E47A8b420a96fd, 936, 62, 62, 0, 0, 62, 0, 0, 1.0, 4570, ss: 17 sss: 32 
0xb12c05c7e540832d05c2007bb92088661232dc88, 2678, 93, 92, 1, 0, 93, 0, 0, 1.0, 8518, ss: 17 sss: 32 
0x2493a571f6e6c116ef4ba5092706e299f2367105, 1516, 107, 104, 3, 0, 107, 0, 0, 1.0, 4769, ss: 17 sss: 32 
0x8ab8e01c5f96af1546a8d0b1df2107bdd5293bb4, 1489, 103, 100, 3, 0, 103, 0, 0, 1.0, 7196, ss: 17 sss: 32 
0xc6f7fa4510f26f88a053208f760926ce70fab451, 2045, 151, 150, 1, 0, 151, 0, 0, 1.0, 17836, ss: 17 sss: 32 
0xd252972316668b4961ee79f9b7155d80b6afd11e, 1508, 107, 104, 3, 0, 107, 0, 0, 1.0, 3578, ss: 17 sss: 32 
0xdf3a6e9bb8980666d4b6e94897487715f6b96132, 1517, 107, 104, 3, 0, 107, 0, 0, 1.0, 3033, ss: 17 sss: 32 
0x05eaf0B7C7954ED6b4ae7b65F20A9af616DF14b3, 2881, 247, 211, 36, 0, 247, 0, 0, 1.0, 16494, ss: 17 sss: 32 
0xdc68035552302d8b3dcb9aa5c57e97c843a0ac49, 2006, 143, 138, 5, 0, 143, 0, 0, 1.0, 9740, ss: 17 sss: 32 
0x17f3e5841773cD9BDe0cBa003E462bc5ccB3125B, 2861, 247, 211, 36, 0, 247, 0, 0, 1.0, 15398, ss: 17 sss: 32 
